Donalds Ducks,Jarrad Davis,Dropped
Donalds Ducks,Rob Gronkowski,Won at $0
Peacocks,Vonn Bell,Dropped
Peacocks,Dion Lewis,Won at $0
Placeholder,Maxx Crosby,Won at $0
Placeholder,Trayvon Mullen,Dropped
Placeholder,Taylor Rapp,Won at $0
Placeholder,Nick Kwiatkoski,Dropped
Placeholder,Donald Payne,Won at $0
Famous Amos,Bo Scarbrough,Dropped
Famous Amos,N'Keal Harry,Won at $0
Team Suzy,Tracy Walker,Dropped
Team Suzy,Jordan Howard,Won at $4
Placeholder,Tyler Higbee,Won at $0
Team Suzy,Shawn Williams,Dropped
Team Suzy,David Johnson,Won at $4
Placeholder,Duke Johnson,Dropped
Placeholder,Robbie Gould,Dropped
Placeholder,Younghoe Koo,Won at $0
Placeholder,Jordan Howard,Dropped
Placeholder,Mike Boone,Won at $12
Placeholder,DeAndre Washington,Dropped
Placeholder,Breshad Perriman,Won at $15
Placeholder,Younghoe Koo,Dropped
Placeholder,Robbie Gould,Won at $0
Placeholder,Erik Harris,Dropped
Placeholder,Trayvon Mullen,Won at $0
Placeholder,Trae Waynes,Dropped
Placeholder,Erik Harris,Won at $0
Placeholder,Jayon Brown,Dropped
Placeholder,DeAndre Washington,Won at $0
Placeholder,Taylor Rapp,Dropped
Placeholder,Nick Kwiatkoski,Won at $0
Placeholder,Rashaan Evans,Dropped
Placeholder,Tavon Wilson,Won at $2
2 Gurleys 1 Kupp,Gerald Everett,Dropped
2 Gurleys 1 Kupp,Carlos Dunlap,Won at $0
Team Suzy,Carlos Hyde,Dropped
Team Suzy,Devin White,Won at $0
Placeholder,Jonathan Williams,Dropped
Team Suzy,Nick Foles,Dropped
Team Suzy,Myles Garrett,Won at $0
2 Gurleys 1 Kupp,Ryan Finley,Dropped
2 Gurleys 1 Kupp,Gardner Minshew,Won at $7
Placeholder,Darrel Williams,Dropped
Placeholder,Raheem Mostert,Won at $61
Flowers &amp; Flowers,David Johnson,Dropped
Flowers &amp; Flowers,Benny Snell,Won at $0
Team Suzy,Jason Pierre-Paul,Dropped
Team Suzy,Everson Griffen,Won at $0
Flowers &amp; Flowers,Matt Moore,Dropped
Flowers &amp; Flowers,Mark Walton,Dropped
Flowers &amp; Flowers,Frank Clark,Won at $0
Flowers &amp; Flowers,Kwon Alexander,Dropped
Flowers &amp; Flowers,Matt Judon,Won at $0
Flowers &amp; Flowers,Myles Garrett,Dropped
Flowers &amp; Flowers,Brandon Graham,Won at $0
The Tank,Brandon Allen,Dropped
The Tank,Drew Lock,Won at $0
Placeholder,Kalen Ballage,Dropped
Placeholder,Darrel Williams,Won at $0
Placeholder,Dallas Goedert,Dropped
Placeholder,Jayon Brown,Won at $0
Placeholder,Ronald Darby,Dropped
Placeholder,Trae Waynes,Won at $0
Famous Amos,Nick Folk,Dropped
Famous Amos,Mason Crosby,Won at $0
Placeholder,Brandon Graham,Dropped
Placeholder,Jonathan Williams,Won at $20
FUCK YOU MELVIN JUST PLAY,Frank Clark,Dropped
FUCK YOU MELVIN JUST PLAY,Jack Doyle,Won at $0
Donalds Ducks,Brian Hill,Dropped
Donalds Ducks,Kenny Moore,Won at $1
SKEET BALL,Zach Pascal,Dropped
SKEET BALL,Andy Dalton,Won at $20
FUCK YOU MELVIN JUST PLAY,Shaq Green-Thompson,Dropped
FUCK YOU MELVIN JUST PLAY,Christian Wilkins,Won at $0
Placeholder,Daniel Carlson,Dropped
Placeholder,Younghoe Koo,Won at $0
Placeholder,Mecole Hardman,Dropped
Placeholder,Brandon Graham,Won at $0
Donalds Ducks,Neville Hewitt,Dropped
Donalds Ducks,Jarrad Davis,Won at $0
The Tank,A.J. Green,Dropped
The Tank,Harold Landry,Won at $0
Famous Amos,Von Miller,Dropped
Famous Amos,Arik Armstead,Won at $0
Placeholder,Mecole Hardman,Won at $0
Famous Amos,Erik Harris,Dropped
Famous Amos,Deebo Samuel,Won at $0
Placeholder,A.J. Johnson,Dropped
Placeholder,Dallas Goedert,Won at $3
Placeholder,Kenny Stills,Dropped
Veteran Minimum,Charvarius Ward,Dropped
Veteran Minimum,Dwayne Haskins,Won at $2
Peacocks,J.D. McKissic,Dropped
Peacocks,Dante Fowler,Won at $0
Veteran Minimum,Mike Badgley,Dropped
Veteran Minimum,Matt Gay,Won at $3
Donalds Ducks,Everson Griffen,Dropped
Donalds Ducks,Neville Hewitt,Won at $3
Team Suzy,Dede Westbrook,Dropped
Team Suzy,C.J. Mosley,Won at $4
Veteran Minimum,Jack Doyle,Dropped
Veteran Minimum,Jacob Hollister,Won at $7
Veteran Minimum,Auden Tate,Dropped
Veteran Minimum,Randall Cobb,Won at $13
Famous Amos,Deebo Samuel,Dropped
Famous Amos,Bo Scarbrough,Won at $15
Placeholder,Robby Anderson,Dropped
Placeholder,Darius Slayton,Won at $0
Placeholder,Stephen Hauschka,Dropped
Placeholder,Daniel Carlson,Won at $0
Placeholder,Brian Hoyer,Dropped
Placeholder,Kenny Stills,Won at $0
Placeholder,Jabaal Sheard,Dropped
Placeholder,A.J. Johnson,Won at $0
Placeholder,Janoris Jenkins,Dropped
Placeholder,Taylor Rapp,Won at $0
Placeholder,Tyrann Mathieu,Dropped
Placeholder,Ronald Darby,Won at $0
Famous Amos,Myles Jack,Dropped
Famous Amos,Deebo Samuel,Won at $0
Famous Amos,Ezekiel Ansah,Dropped
Famous Amos,Erik Harris,Won at $0
Famous Amos,Mason Crosby,Dropped
Famous Amos,Nick Folk,Won at $0
Famous Amos,Marcus Davenport,Dropped
Famous Amos,Melvin Ingram,Won at $0
Donalds Ducks,Larry Fitzgerald,Dropped
Donalds Ducks,Jamison Crowder,Won at $0
2 Gurleys 1 Kupp,Jonnu Smith,Dropped
2 Gurleys 1 Kupp,Gerald Everett,Won at $0
Famous Amos,Marcus Peters,Won at $0
SKEET BALL,Jason Witten,Won at $2
Famous Amos,Kevin Byard,Dropped
Peacocks,Harold Landry,Dropped
Peacocks,Anthony Barr,Won at $0
SKEET BALL,Benardrick McKinney,Dropped
SKEET BALL,Reshad Jones,Won at $3
Peacocks,Matt Breida,Dropped
Peacocks,J.D. McKissic,Won at $3
Veteran Minimum,Miles Boykin,Dropped
Veteran Minimum,Matt Milano,Won at $3
SKEET BALL,Jeff Driskel,Won at $25
SKEET BALL,Mario Addison,Dropped
SKEET BALL,Carlos Dunlap,Dropped
Donalds Ducks,Terrell Edmunds,Dropped
Donalds Ducks,Kyle Fuller,Won at $0
FUCK YOU MELVIN JUST PLAY,Eric Rowe,Dropped
FUCK YOU MELVIN JUST PLAY,Marcus Williams,Won at $1
Donalds Ducks,Brandon Graham,Dropped
Donalds Ducks,Derrius Guice,Won at $1
FUCK YOU MELVIN JUST PLAY,Dante Fowler,Dropped
FUCK YOU MELVIN JUST PLAY,Todd Davis,Won at $1
Donalds Ducks,Jason Witten,Dropped
Donalds Ducks,Brian Hill,Won at $49
FUCK YOU MELVIN JUST PLAY,Darqueze Dennard,Dropped
Bye Week,Nick Folk,Dropped
Bye Week,Adam Vinatieri,Won at $0
Bye Week,Kenny Stills,Dropped
Bye Week,Xavier Woods,Won at $0
FUCK YOU MELVIN JUST PLAY,Reshad Jones,Dropped
FUCK YOU MELVIN JUST PLAY,Eric Rowe,Won at $0
Placeholder,Keke Coutee,Dropped
Placeholder,Jabaal Sheard,Won at $0
Placeholder,J.D. McKissic,Dropped
Placeholder,Kalen Ballage,Won at $0
2 Gurleys 1 Kupp,Malcolm Jenkins,Dropped
2 Gurleys 1 Kupp,Jonnu Smith,Won at $0
SKEET BALL,Olivier Vernon,Dropped
SKEET BALL,Carlos Dunlap,Won at $1
Donalds Ducks,Whitney Mercilus,Dropped
Donalds Ducks,Larry Fitzgerald,Won at $1
SKEET BALL,A.J. Brown,Won at $1
SKEET BALL,DeSean Jackson,Dropped
The Tank,Robbie Gould,Dropped
The Tank,Brett Maher,Won at $0
FUCK YOU MELVIN JUST PLAY,Ronnie Harrison,Dropped
FUCK YOU MELVIN JUST PLAY,Darqueze Dennard,Won at $0
Donalds Ducks,Chris Herndon,Dropped
Donalds Ducks,Jason Witten,Won at $1
Peacocks,Larry Fitzgerald,Dropped
Peacocks,Jared Cook,Won at $0
Placeholder,Raheem Mostert,Dropped
Placeholder,J.D. McKissic,Won at $0
SKEET BALL,Kyle Van Noy,Dropped
SKEET BALL,Olivier Vernon,Won at $1
SKEET BALL,Cole Beasley,Dropped
SKEET BALL,Zach Pascal,Won at $1
The Tank,Eric Rowe,Dropped
The Tank,Chris Jones,Won at $3
SKEET BALL,Gardner Minshew,Dropped
SKEET BALL,Mario Addison,Won at $3
Team Suzy,Lamar Miller,Dropped
Team Suzy,J.J. Watt,Won at $4
2 Gurleys 1 Kupp,Denzel Ward,Won at $0
FUCK YOU MELVIN JUST PLAY,Mike Nugent,Dropped
FUCK YOU MELVIN JUST PLAY,Wil Lutz,Won at $0
2 Gurleys 1 Kupp,Jalen Ramsey,Won at $0
FUCK YOU MELVIN JUST PLAY,Reshad Jones,Won at $1
2 Gurleys 1 Kupp,Ryan Finley,Won at $2
Donalds Ducks,Brett Maher,Dropped
Donalds Ducks,Chris Herndon,Won at $2
Peacocks,Haason Reddick,Dropped
Peacocks,Harold Landry,Won at $3
Veteran Minimum,C.J. Mosley,Dropped
Veteran Minimum,Charvarius Ward,Won at $3
Peacocks,Ronald Darby,Dropped
Peacocks,Vonn Bell,Won at $3
Team Suzy,Josh Gordon,Dropped
Team Suzy,Cam Newton,Won at $4
FUCK YOU MELVIN JUST PLAY,Marquez Valdes-Scantling,Dropped
FUCK YOU MELVIN JUST PLAY,DeVante Parker,Won at $4
Veteran Minimum,Josh Lambo,Dropped
Veteran Minimum,Mike Badgley,Won at $5
Veteran Minimum,Case Keenum,Dropped
Veteran Minimum,Jack Doyle,Won at $6
Famous Amos,Tra Carson,Dropped
Famous Amos,Thomas Davis,Won at $15
Placeholder,Jon Bostic,Dropped
Placeholder,Brian Hoyer,Won at $20
2 Gurleys 1 Kupp,Joe Thomas,Dropped
2 Gurleys 1 Kupp,Jordan Phillips,Dropped
2 Gurleys 1 Kupp,Arik Armstead,Dropped
FUCK YOU MELVIN JUST PLAY,Ty Johnson,Dropped
SKEET BALL,Marquise Goodwin,Dropped
2 Gurleys 1 Kupp,Joe Thomas,Won at $0
2 Gurleys 1 Kupp,Cam Newton,Dropped
Bye Week,Mario Addison,Dropped
Bye Week,Cameron Wake,Won at $0
Bye Week,Marshon Lattimore,Dropped
Bye Week,Frank Gore,Won at $0
Flowers &amp; Flowers,Delanie Walker,Dropped
Flowers &amp; Flowers,Greg Olsen,Won at $0
The Tank,Andy Dalton,Dropped
The Tank,Brandon Allen,Won at $0
Bye Week,Matt Bryant,Dropped
Bye Week,Nick Folk,Won at $0
The Tank,Damarious Randall,Dropped
The Tank,Eric Rowe,Won at $2
The Tank,Marcus Mariota,Dropped
The Tank,Kareem Jackson,Won at $2
The Tank,Pernell McPhee,Dropped
The Tank,Jerome Baker,Won at $15
The Tank,Jason Witten,Dropped
The Tank,Jaylen Samuels,Won at $20
Team Suzy,Avery Williamson,Dropped
Team Suzy,Shawn Williams,Won at $4
Placeholder,Jaire Alexander,Dropped
Placeholder,Tyrann Mathieu,Won at $0
2 Gurleys 1 Kupp,Vonn Bell,Dropped
2 Gurleys 1 Kupp,Malcolm Jenkins,Won at $0
Donalds Ducks,Gerald Everett,Dropped
Donalds Ducks,Brett Maher,Won at $1
SKEET BALL,Kyle Van Noy,Won at $3
Placeholder,Corey Davis,Dropped
Placeholder,Robby Anderson,Won at $5
2 Gurleys 1 Kupp,Jordan Phillips,Won at $0
2 Gurleys 1 Kupp,Arik Armstead,Won at $0
Team Suzy,J.J. Watt,Dropped
Team Suzy,Lamar Miller,Won at $0
FUCK YOU MELVIN JUST PLAY,Shawn Williams,Dropped
FUCK YOU MELVIN JUST PLAY,Justin Simmons,Won at $1
Peacocks,Devin White,Dropped
Peacocks,Marquise Brown,Won at $3
Peacocks,Reshad Jones,Dropped
Peacocks,Ha Ha Clinton-Dix,Won at $3
Donalds Ducks,Phillip Dorsett,Dropped
Donalds Ducks,Brandon Graham,Won at $3
SKEET BALL,Tremaine Edmunds,Won at $3
2 Gurleys 1 Kupp,Ryan Fitzpatrick,Won at $3
Team Suzy,Justin Reid,Dropped
Team Suzy,Will Dissly,Won at $4
Veteran Minimum,Damien Wilson,Dropped
Veteran Minimum,Jaylon Smith,Won at $4
Team Suzy,Greg Olsen,Dropped
Team Suzy,Ronald Jones,Won at $4
Veteran Minimum,Montae Nicholson,Dropped
Veteran Minimum,Jabrill Peppers,Won at $5
Peacocks,Wil Lutz,Dropped
Peacocks,Matt Prater,Won at $8
Team Suzy,Sterling Shepard,Dropped
Team Suzy,Kerryon Johnson,Won at $10
Famous Amos,Chris Thompson,Dropped
Famous Amos,Tra Carson,Won at $10
Flowers &amp; Flowers,Vance McDonald,Dropped
Flowers &amp; Flowers,Mark Walton,Won at $20
Flowers &amp; Flowers,Dwayne Haskins,Dropped
Flowers &amp; Flowers,Matt Moore,Won at $40
2 Gurleys 1 Kupp,Joe Flacco,Dropped
2 Gurleys 1 Kupp,Chase Edmonds,Dropped
2 Gurleys 1 Kupp,Malcolm Brown,Dropped
SKEET BALL,Teddy Bridgewater,Dropped
SKEET BALL,Chris Boswell,Dropped
Flowers &amp; Flowers,Jamison Crowder,Dropped
Flowers &amp; Flowers,Vance McDonald,Won at $0
Peacocks,John Johnson,Dropped
Peacocks,Ronald Darby,Won at $0
FUCK YOU MELVIN JUST PLAY,Ronald Jones,Dropped
FUCK YOU MELVIN JUST PLAY,Dante Fowler,Won at $0
Team Suzy,Robby Anderson,Dropped
Team Suzy,Jason Pierre-Paul,Won at $4
Donalds Ducks,Frank Gore,Dropped
Donalds Ducks,Joe Schobert,Won at $4
Veteran Minimum,Kerryon Johnson,Dropped
Veteran Minimum,Mason Rudolph,Won at $11
Team Suzy,Mason Rudolph,Dropped
Team Suzy,Avery Williamson,Won at $4
Team Suzy,Jaylon Smith,Dropped
Team Suzy,Ben Roethlisberger,Won at $4
Team Suzy,Joe Schobert,Dropped
Team Suzy,Derwin James,Won at $4
Team Suzy,Justin Simmons,Dropped
Team Suzy,T.J. Watt,Won at $4
Team Suzy,Brandon Graham,Dropped
Team Suzy,Josh Gordon,Won at $4
Placeholder,Demaryius Thomas,Dropped
Placeholder,Corey Davis,Won at $0
Team Suzy,Quinton Dunbar,Dropped
Team Suzy,Justin Simmons,Won at $0
Famous Amos,Tony Pollard,Dropped
Famous Amos,Ezekiel Ansah,Won at $0
Donalds Ducks,Jarrad Davis,Dropped
Donalds Ducks,Whitney Mercilus,Won at $1
Donalds Ducks,Earl Thomas,Dropped
Donalds Ducks,Eric Reid,Won at $1
Donalds Ducks,Mecole Hardman,Dropped
Donalds Ducks,Phillip Dorsett,Won at $1
SKEET BALL,Josh Gordon,Dropped
SKEET BALL,Chris Boswell,Won at $1
FUCK YOU MELVIN JUST PLAY,Jerome Baker,Dropped
FUCK YOU MELVIN JUST PLAY,Shaq Green-Thompson,Won at $1
2 Gurleys 1 Kupp,Donte Jackson,Won at $2
Donalds Ducks,Vance McDonald,Dropped
Donalds Ducks,Gerald Everett,Won at $2
SKEET BALL,Michael Pierce,Dropped
SKEET BALL,Yannick Ngakoue,Won at $3
FUCK YOU MELVIN JUST PLAY,Ha Ha Clinton-Dix,Dropped
FUCK YOU MELVIN JUST PLAY,Ty Johnson,Won at $7
2 Gurleys 1 Kupp,Chase Edmonds,Won at $11
FUCK YOU MELVIN JUST PLAY,Mitchell Trubisky,Won at $34
FUCK YOU MELVIN JUST PLAY,Allen Lazard,Dropped
2 Gurleys 1 Kupp,Xavier Woods,Dropped
2 Gurleys 1 Kupp,Zane Gonzalez,Dropped
SKEET BALL,Ezekiel Ansah,Dropped
SKEET BALL,Michael Pierce,Won at $0
Bye Week,Marquise Brown,Dropped
Bye Week,Tahir Whitehead,Won at $0
Bye Week,Marshon Lattimore,Won at $0
Bye Week,Josh Allen,Won at $0
Bye Week,Matt Bryant,Won at $0
Bye Week,Dante Pettis,Won at $0
Bye Week,Kenny Stills,Won at $0
Placeholder,Jake Elliott,Dropped
Placeholder,Stephen Hauschka,Won at $0
Placeholder,Jabrill Peppers,Dropped
Placeholder,Janoris Jenkins,Won at $0
Placeholder,Mitchell Trubisky,Dropped
Placeholder,Jon Bostic,Won at $0
Team Suzy,Neville Hewitt,Dropped
Team Suzy,Quinton Dunbar,Won at $0
Placeholder,Jayon Brown,Dropped
Placeholder,Rashaan Evans,Won at $0
SKEET BALL,Kyle Fuller,Dropped
SKEET BALL,Cole Beasley,Won at $1
FUCK YOU MELVIN JUST PLAY,Shaq Green-Thompson,Dropped
FUCK YOU MELVIN JUST PLAY,Allen Lazard,Won at $1
SKEET BALL,Whitney Mercilus,Dropped
SKEET BALL,Marquise Goodwin,Won at $1
2 Gurleys 1 Kupp,Chase Edmonds,Dropped
2 Gurleys 1 Kupp,Cam Newton,Won at $5
Flowers &amp; Flowers,Dion Lewis,Dropped
Flowers &amp; Flowers,Jamison Crowder,Won at $0
Veteran Minimum,Will Dissly,Dropped
Veteran Minimum,Darren Fells,Won at $3
Bye Week,Ka'imi Fairbairn,Dropped
Bye Week,Chase Daniel,Dropped
Bye Week,Peyton Barber,Dropped
Bye Week,Cam Newton,Dropped
Bye Week,Gerald Everett,Dropped
2 Gurleys 1 Kupp,Zane Gonzalez,Won at $0
